CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
50173362,THE EIGHTY SIX,Manhattan,86,BEDFORD STREET,10014,9175408686,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.73206747,-74.00523189,102,3,7300,1083531,1005880003,MN23,POINT (-74.005231891796 40.732067465926)
50165779,MISS JOYCE KITCHEN CARIBBEAN RESTAURANT LLC,Bronx,1076,EAST  165 STREET,10459,7187441088,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.82505456,-73.89077103,202,17,11900,2006023,2027430030,BX27,POINT (-73.890771034906 40.82505456445)
50180541,BEM | BOOKS & MORE,Brooklyn,373,LEWIS AVENUE,11233,5103329039,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.68264602,-73.9349745,303,36,29700,3046797,3016700010,BK61,POINT (-73.934974498019 40.682646024762)
50173584,DUCK ISLAND CAFE,Brooklyn,171,EAST DRIVE,11226,9292178365,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.65823284,-73.96336338,355,39,17700,3391508,3011170001,BK99,POINT (-73.963363384608 40.658232841937)
50185029,RITA'S ITALIAN ICE & FROZEN CUSTARD,Brooklyn,123,LEE AVENUE,11211,9172990997,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.70407153,-73.95809398,301,33,53300,3060352,3022060003,BK72,POINT (-73.958093982339 40.704071528815)
50190863,ROMANA CAFE,Queens,38-59,12 STREET,11101,4157942381,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.75771606,-73.94121773,401,26,8500,4005336,4004720635,QN68,POINT (-73.941217725294 40.757716055118)
50159671,BABKA BAILOUT LLC,Manhattan,42,WEST   42 STREET,10036,9173044929,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.75406824,-73.98232117,105,4,8400,1000000,1012570002,MN17,POINT (-73.982321170752 40.754068239421)
50134015,TOZTON,Queens,42-13,BROADWAY,11103,9177341066,Latin American,09/15/2025,Establishment re-closed by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,41,,,09/10/2026,Cycle Inspection / Reopening Inspection,40.75813492,-73.91720977,401,22,15500,4011765,4006920003,QN70,POINT (-73.917209771947 40.758134918057)
50161534,Idaho,Manhattan,349,EAST   13 STREET,10003,3233502345,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.73116348,-73.98426846,103,2,4000,1006530,1004550043,MN22,POINT (-73.984268456765 40.731163478798)
50164368,THE ZONE 2,Queens,43-20,31 AVENUE,11103,9175202571,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.76006522,-73.91446758,401,22,15300,4011897,4006940001,QN70,POINT (-73.914467581793 40.760065218018)
50150789,LATOYA'S KITCHEN,Manhattan,2492,ADAM CLAYTON POWELL JR BOULEVARD,,2122346300,Caribbean,09/01/2025,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,09/10/2026,Inter-Agency Task Force / Initial Inspection,0,0,,,,,1,,
41203218,DA NOI II,Staten Island,138142,FINGERBOARD ROAD,,7187201650,Peruvian,10/04/2024,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,19,,,09/10/2026,Cycle Inspection / Initial Inspection,0,0,,,,,5,,
50185612,PIXELATED RECORDS,Queens,792,ONDERDONK AVENUE,11385,9295494056,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.70253828,-73.90480386,405,34,55100,4082777,4034620034,QN20,POINT (-73.904803857884 40.702538278575)
50181658,SPRINKLE IT,Manhattan,2104,FREDERICK DOUGLASS BOULEVARD,,2127290748,Frozen Desserts,06/11/2026,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,33,N,,09/10/2026,Pre-permit (Operational) / Initial Inspection,0,0,,,,,1,,
50179264,Fair Field Pavilion,Queens,131-10,101 AVENUE,11419,9174976409,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.69277131,-73.81601835,409,29,15200,4438636,4094990001,QN54,POINT (-73.816018352259 40.692771314793)
50183022,MAGM HOSPITALITY,Queens,159-03,HILLSIDE AVENUE,11432,3479719107,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.70776026,-73.80263855,408,24,44602,4209071,4097690101,QN61,POINT (-73.802638547378 40.70776025564)
50171446,STAND 50B,Manhattan,1260,AVENUE OF THE AMERICAS,10020,2124857431,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.75998287,-73.98034869,105,4,10400,1083861,1012660001,MN17,POINT (-73.980348688068 40.759982874835)
41247555,AU BON PAIN,Queens,,LAGUARDIA AIRPORT,11369,7186392891,Soups/Salads/Sandwiches,09/20/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,10,A,09/20/2018,09/10/2026,Cycle Inspection / Initial Inspection,,,,,,,,,
50191270,MORRISON ADULT DAYCARE INC,Bronx,1272,MORRISON AVENUE,10472,7188669009,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.83135143,-73.87503423,209,17,6200,2025386,2037780028,BX08,POINT (-73.875034229497 40.831351431284)
50179663,TAXI CAFE,Queens,BLDG 187,CENTRAL TAXI HOLD LOT,11430,8455855146,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,,,,,,,,,
50118644,EMPEROR DUMPLING,Manhattan,818,6 AVENUE,10001,6464227128,Chinese,07/02/2025,Establishment re-opened by DOHMH.,,,Not Applicable,0,P,07/02/2025,09/10/2026,Cycle Inspection / Reopening Inspection,40.7462082,-73.99037849,105,3,7600,1015710,1008300003,MN17,POINT (-73.990378485822 40.746208202764)
50119424,ARS NOVA THEATER,Manhattan,27,BARROW STREET,10014,2124899800,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.73249298,-74.00307782,102,3,6700,1010159,1005900056,MN23,POINT (-74.003077815385 40.73249298251)
50175281,STRAWBERRO LLC,Manhattan,42,BROADWAY,10004,2015460996,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.7062633,-74.01290873,101,1,900,1000812,1000220020,MN25,POINT (-74.012908734166 40.706263297358)
50188792,NICE DAY BUSHWICK LLC,Brooklyn,130,WILSON AVENUE,11237,2034999146,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.7007505,-73.92583593,304,34,42300,3072908,3032080028,BK78,POINT (-73.925835930486 40.700750496119)
50149723,PHOENIX PALACE,Manhattan,85,BOWERY,10002,6465065715,Chinese,08/23/2025,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,09/10/2026,Inter-Agency Task Force / Initial Inspection,40.71697677,-73.99559539,103,1,1600,1003908,1003030011,MN27,POINT (-73.995595387633 40.716976773916)
50186739,KEY NANA BISTRO,Queens,205-20,JAMAICA AVENUE,11423,6465291820,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.71367621,-73.75477488,412,27,50000,4231684,4108340033,QN07,POINT (-73.754774883385 40.713676209805)
50178253,TRINI/ISLAND BURGER,Brooklyn,356,DEVOE STREET,11211,9175664489,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.71374761,-73.93598652,301,34,48100,3332345,3029240019,BK90,POINT (-73.935986521997 40.713747613266)
50189298,FILONCINO CAFE,Staten Island,4569,AMBOY ROAD,10312,7183171241,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.54236088,-74.16513378,503,51,17011,5073841,5055850083,SI01,POINT (-74.165133775648 40.542360881414)
50148310,CINCO OCHO,Manhattan,3775,10 AVENUE,10034,9173782255,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.86135115,-73.92118409,112,10,29900,1064490,1021990001,MN01,POINT (-73.921184087598 40.861351149422)
50174579,History,Manhattan,645,9 AVENUE,10036,3477406790,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.76052768,-73.99110919,104,3,12100,1026453,1010550029,MN15,POINT (-73.991109188394 40.760527675145)
50166822,CAPITAL ONE LOUNGE,Queens,,JFK INTERNATIONAL AIRPORT,11430,7037747097,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,,,,,,,,,
50183678,SABA HOSPITALITY GROUP LLC,Brooklyn,88,LIVINGSTON STREET,11201,9176051807,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.69139523,-73.9907903,302,33,900,3002652,3002690033,BK09,POINT (-73.990790297022 40.691395225127)
50191893,CULT GAIA,Manhattan,761,MADISON AVENUE,10065,3239439084,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.76762163,-73.96845103,108,4,12200,1087937,1013807501,MN40,POINT (-73.968451030413 40.7676216263)
50160229,MAM'S CUPBOARD,Manhattan,20,UNION SQUARE WEST,10003,6469191465,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.73660979,-73.99067938,105,2,5200,1016108,1008450002,MN13,POINT (-73.990679378381 40.736609791786)
50160026,YOYO FULTON LLC,Brooklyn,2238,BATH AVENUE,11214,5162884708,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.59776283,-73.99622264,311,47,29400,3169034,3064490034,BK28,POINT (-73.996222639556 40.59776282764)
50191380,FLIK @ AER LINGUS JFK LOUNGE,Queens,6,CENTRAL TERMINAL AREA,,7043286780,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,0,0,,,,,4,,
50191702,BEP BO VIETNAMESE NOODLE INC.,Queens,39-13,BELL BOULEVARD,11361,9296163871,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.76506869,-73.77175052,411,19,112300,4137621,4062410011,QN46,POINT (-73.771750523467 40.765068694231)
50187076,YELLOW PEAR COFFEE,Brooklyn,384,7 AVENUE,11215,3478821786,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.66530523,-73.98291431,306,39,15100,3023023,3010240046,BK37,POINT (-73.98291431022 40.665305229634)
50181951,FOOD HALL,Manhattan,337,MADISON AVENUE,10017,2127080870,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.75385349,-73.97849528,105,4,9400,1035360,1012780020,MN17,POINT (-73.978495278861 40.753853494922)
50186991,ASIA PRIME MARKET INC,Manhattan,5055,BROADWAY,10034,9177903228,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.87013026,-73.91551503,112,10,30700,1090922,1022430255,MN01,POINT (-73.915515034968 40.870130256234)
50187070,SENA CAFE & CO.,Queens,816,SENECA AVENUE,11385,9176982530,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.70131718,-73.90519511,405,34,55100,4082743,4034610037,QN20,POINT (-73.905195113802 40.701317178834)
50134996,HOLLY GROVE EVENT SPACE,Brooklyn,283,WYCKOFF AVENUE,11237,3474956789,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.7006812,-73.91314835,304,37,44100,3076200,3033290008,BK77,POINT (-73.913148349623 40.700681202329)
50190120,"CHICK-FIL-A, INC.",Manhattan,1000,AVENUE OF THE AMERICAS,10018,4047658000,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.7517824,-73.98632085,105,4,8400,1080732,1008390001,MN17,POINT (-73.986320854497 40.751782400655)
50144821,CHRISTMAS IN NEW YORK,Manhattan,42,WEST   42 STREET,10036,2126931600,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.75406824,-73.98232117,105,4,8400,1000000,1012570002,MN17,POINT (-73.982321170752 40.754068239421)
50187625,FAT DOUGHNUT,Brooklyn,50,MALCOLM X BOULEVARD,11221,3476635200,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.69250017,-73.93097295,303,36,28900,3043466,3016070045,BK35,POINT (-73.930972950175 40.692500171149)
50188524,"LINS JAPANESE RESTAURANT, LLC",Queens,36-17,PRINCE STREET,11354,9177420394,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.76182831,-73.83300964,407,20,86900,4112233,4049710012,QN22,POINT (-73.833009639617 40.761828310986)
50190081,PRINCE RESTAURANT LLC,Queens,33-75,PRINCE STREET,11354,7403192198,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.76460651,-73.83335281,407,20,86900,4000000,4049497502,QN22,POINT (-73.833352814871 40.764606509692)
50189229,M TOAST INC.,Queens,86-55,BROADWAY,11373,9293703371,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.73740365,-73.877286,404,25,47300,4045397,4018427502,QN29,POINT (-73.877285995243 40.737403649066)
50192202,RADIO BAKERY 4,Manhattan,463,COLUMBUS AVE,10024,9175705483,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.78404213,-73.97393921,107,6,16900,1031161,1011960002,MN12,POINT (-73.973939205805 40.784042126022)
50104228,SOUTH SLOPE RESTAURANT & BAR,0,486,5TH AVE,7071,9175006558,American,10/20/2023,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,28,,,09/10/2026,Cycle Inspection / Initial Inspection,,,,,,,,,
50187153,TEACHERS COLLEGE - COLUMBIA UNIVERSITY,Manhattan,501,WEST  121 STREET,10027,2128548324,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.81008539,-73.95889396,109,7,20300,1059657,1019760029,MN09,POINT (-73.958893963149 40.810085394571)
50183868,KING RIVER,Queens,80-18,31 AVENUE,11370,7188030818,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.75904848,-73.8876346,403,25,30903,4025799,4011510008,QN28,POINT (-73.88763459984 40.759048478408)
50189495,SANTINOS SLICES AND ITALIAN ICES INC,Bronx,1671B,BOSTON ROAD,10460,2109540102,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.83635891,-73.88946948,203,15,15500,2009884,2029400072,BX75,POINT (-73.88946947574 40.836358909345)
50190480,NEW SPARK INC.,Queens,161-19,CROCHERON AVENUE,11358,3479880688,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.76256806,-73.80436709,407,19,117100,4119428,4052810001,QN51,POINT (-73.804367087137 40.762568061731)
50120146,SPREAD LOVE & EAT,Brooklyn,9110,FLATLANDS AVENUE,11236,1718541649,Vegan,03/19/2025,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,09/10/2026,Cycle Inspection / Compliance Inspection,40.64079746,-73.90506884,318,46,96600,3229932,3081990040,BK50,POINT (-73.905068839027 40.640797456722)
50188698,CINNAHOLIC,Manhattan,228,8 AVENUE,10011,7148654455,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.74437785,-73.99913387,104,3,8700,1014062,1007710006,MN13,POINT (-73.999133871075 40.744377846674)
50188237,LE SIXTH,Manhattan,359,AVENUE OF THE AMERICAS,10014,2125108993,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.7321362,-74.00064948,102,3,7100,1088408,1005920019,MN23,POINT (-74.000649476895 40.732136202523)
50189473,UZSHASHLIKN1 INC.,Brooklyn,115,DITMAS AVENUE,11218,9299440009,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.63558386,-73.97774089,312,39,48600,3126606,3053850053,BK41,POINT (-73.977740886419 40.635583861344)
50176157,LISTEN BROOKLYN,Brooklyn,198,RANDOLPH STREET,11237,9176982086,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.70970089,-73.92536424,301,34,44900,3070586,3029880014,BK90,POINT (-73.925364239459 40.709700890144)
50056770,ESSEN,Manhattan,519,8 AVENUE,10018,2122901515,American,05/09/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,9,A,05/09/2025,09/10/2026,Cycle Inspection / Re-inspection,40.75337768,-73.99260442,104,3,11100,1013576,1007590045,MN13,POINT (-73.992604421405 40.75337768342)
50142157,THE LITTLE FLOWER,Queens,1,Central Terminal,,9723556751,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,0,0,,,,,4,,
50188785,BAR ENZO,Manhattan,1073,1 AVENUE,10022,9174352428,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.75929764,-73.96221024,106,5,10800,1040051,1013510027,MN19,POINT (-73.962210237937 40.759297635178)
50161959,BROOKLYN ROOTS COLLECTIVE,Brooklyn,255,RANDOLPH STREET,11237,5164772796,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.71050583,-73.922319,301,34,44900,3070580,3029790045,BK90,POINT (-73.922319000564 40.710505830258)
50190970,102-110 JOHN MAZAL LLC,Manhattan,5,PLATT STREET,10038,6465594370,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.70767465,-74.00658616,101,1,1502,1000000,1000690053,MN25,POINT (-74.006586155213 40.707674646724)
50190682,ROSE 2 PENN LLC,0,N/A,N/A,,9175432014,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,,,,,,,,,
50185657,SHAMPOO,Queens,35-74,159 STREET,11358,9292253006,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.76524999,-73.80616058,407,19,117100,4119306,4052740001,QN51,POINT (-73.80616057638 40.76524999497)
50166456,ESSEX PEARL,Manhattan,25,11 AVENUE,10011,3478994998,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.743082,-74.00865029,104,3,9900,1012253,1006620003,MN13,POINT (-74.008650293747 40.743081996014)
50188465,67TEA HOUSE LLC,Queens,41-94,BOWNE STREET,11355,6462904782,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.75736031,-73.82235817,407,20,85700,4117042,4051810048,QN22,POINT (-73.822358173967 40.757360310114)
50190842,WILT'S BERRIES,Brooklyn,445,ALBEE SQUARE WEST,11201,5703323174,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.69082623,-73.98345225,302,33,1500,3397861,3001497501,BK38,POINT (-73.98345224546 40.690826232689)
50180550,UNITED AIRLINES RED CARPET CLUB,Queens,1,CENTRAL TERMINAL,,8663723035,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,0,0,,,,,4,,
50104400,MS. KIM'S,Manhattan,8,WEST   28 STREET,10001,8459014285,Korean,01/27/2026,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,19,,,09/10/2026,Cycle Inspection / Initial Inspection,40.74491518,-73.98789214,105,3,5800,1015694,1008290046,MN13,POINT (-73.987892141339 40.744915184446)
50107047,KING BARKA,Manhattan,2733,FREDERICK DOUGLASS BOULEVARD,,3476418572,Caribbean,07/15/2026,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,25,,,09/10/2026,Cycle Inspection / Compliance Inspection,0,0,,,,,1,,
50183696,CHAMA MAMA AT MORGAN LLC,Brooklyn,81,MORGAN AVENUE,11237,9174705766,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.70661439,-73.93197901,301,34,45300,3000000,3030840001,BK77,POINT (-73.93197900851 40.706614392723)
50040939,WASAN BROOKLYN,Brooklyn,440,BERGEN STREET,11217,3477253550,Japanese,08/23/2025,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,09/10/2026,Inter-Agency Task Force / Initial Inspection,40.68133088,-73.97666195,306,39,12902,3018584,3009330010,BK37,POINT (-73.976661951346 40.681330877126)
50179243,COMMON MEADOWS CREAMERY,Manhattan,227,GRAND STREET,10013,5109261504,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.71864009,-73.9953644,102,1,4100,1090573,1002390015,MN24,POINT (-73.995364399109 40.718640094234)
50182749,ONE BOWL,0,N/A,N/A,,6467033578,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,,,,,,,,,
50188503,EAST COAST STREET TACOS,Brooklyn,538,3 AVENUE,11215,8452555193,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.66896234,-73.99311128,306,38,11700,3023317,3010320033,BK37,POINT (-73.993111276341 40.668962339929)
50181665,WOKUNI BROADWAY,Manhattan,1359,BROADWAY,10018,9172076948,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.75169746,-73.98759855,105,3,10900,1015240,1008120022,MN17,POINT (-73.9875985531 40.751697458285)
50190402,MIN SOK SOON DEI INC.,Queens,Apr-41,162 STREET,11358,9177505399,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.76119759,-73.8038802,407,20,117100,4120428,4053340017,QN51,POINT (-73.803880195917 40.761197592995)
50002431,DUE AMICI,Queens,,JFK INTERNATIONAL AIRPORT,11430,6464835087,Italian,11/01/2017,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,6,A,11/01/2017,09/10/2026,Cycle Inspection / Initial Inspection,,,,,,,,,
50172087,CUE 48,Manhattan,1605,BROADWAY,10019,2123156100,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.76052974,-73.98464413,105,3,12500,1076195,1010200046,MN17,POINT (-73.984644127537 40.76052973693)
50186734,KHOB KHUN CAFÉ & BISTRO,Brooklyn,226,ATLANTIC AVENUE,11201,9293057788,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.68942729,-73.99161992,302,33,4300,3339352,3002780026,BK38,POINT (-73.991619923421 40.68942728623)
50188790,QAMARIA YEMENI COFFEE,Queens,31-18,DITMARS BOULEVARD,11105,6466200724,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.77574548,-73.91016883,401,22,11500,4017080,4008330136,QN72,POINT (-73.910168827866 40.775745480735)
50187240,BKLYN CATERERS LLC,Brooklyn,88,KINGSTON AVENUE,11213,7189937570,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.67671534,-73.94151652,308,36,31300,3030157,3012090045,BK61,POINT (-73.941516522976 40.67671534365)
40512857,VIEJO MADRID RESTAURANT,Bronx,5523,BROADWAY,10463,,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.87751701,-73.90581801,208,11,28900,2083136,2057000095,BX29,POINT (-73.905818008959 40.877517014856)
50165370,GRACE TABLE RESTAURANT AND BAKERY,Brooklyn,4120,10 AVENUE,11219,7184042523,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.64319168,-73.99437873,312,38,11200,3135558,3055900049,BK34,POINT (-73.994378732394 40.64319167655)
50188214,ALOHENNY LLC,Bronx,2801,CODDINGTON AVENUE,10461,9146193828,,01/01/1900,,,,Not Applicable,,,,09/10/2026,,40.83823103,-73.83475061,210,13,26400,2074104,2053730001,BX52,POINT (-73.834750607798 40.83823102554)
